Course Title,Grade Level,Grade Plan,Score,Academic Year,Value,Department
Class a3,X Grade,Spring Term Grades,A,2017-2018,4,Elephant
Class a3,X Grade,Spring Term Grades,A,2017-2018,4,Elephant
Class a3,X Grade,Spring Term Grades,A,2017-2018,4,Elephant
Class a3,X Grade,Spring Term Grades,A,2017-2018,4,Elephant
Class a3,X Grade,Spring Term Grades,A,2017-2018,4,Elephant
Class a3,X Grade,Spring Term Grades,A-,2017-2018,3.7,Elephant
Class a3,X Grade,Spring Term Grades,A-,2017-2018,3.7,Elephant
Class a3,X Grade,Spring Term Grades,A-,2017-2018,3.7,Elephant
Class a3,H Grade,Spring Term Grades,A-,2017-2018,3.7,Elephant
Class a3,H Grade,Spring Term Grades,A-,2017-2018,3.7,Elephant
Class a3,X Grade,Spring Term Grades,B+,2017-2018,3.33,Elephant
Class a3,H Grade,Spring Term Grades,B+,2017-2018,3.33,Elephant
Class a3,X Grade,Spring Term Grades,B+,2017-2018,3.33,Elephant
Class a3,H Grade,Spring Term Grades,B+,2017-2018,3.33,Elephant
Class a3,X Grade,Spring Term Grades,B,2017-2018,3,Elephant
Class a3,N Grade,Spring Term Grades,B,2017-2018,3,Elephant
Class a3,X Grade,Spring Term Grades,C+,2017-2018,2.33,Elephant
Class ab,T Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,T Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2018-2019,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,T Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,T Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,T Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,T Grade,Fall Term Grade,A,2021-2022,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,N Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,X Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,H Grade,Fall Term Grade,A,2017-2018,4,Unicorn
Class ab,X Grade,Fall Term Grade,A-,2018-2019,3.7,Unicorn
Class ab,T Grade,Fall Term Grade,A-,2018-2019,3.7,Unicorn
Class ab,N Grade,Fall Term Grade,A-,2021-2022,3.7,Unicorn
Class ab,N Grade,Fall Term Grade,B+,2018-2019,3.33,Unicorn
Class ab,X Grade,Fall Term Grade,B+,2021-2022,3.33,Unicorn
Class ab,H Grade,Fall Term Grade,B+,2021-2022,3.33,Unicorn
Class ab,X Grade,Fall Term Grade,B+,2021-2022,3.33,Unicorn
Class ab,T Grade,Spring Term Grades,A,2018-2019,4,Unicorn
